,ADYEY,AFRM,ALKT,AVLR,BILL,BTRS,BL,BHG,CLOV,COIN,COMP,DLO,DOMA,DCT,ENV,EVER,FLT,FLYW,FCH.L,GDOT,HIPO,INTA,KPLT,LMND,LSPD,LDI,LU,MQ,MELI,MILE,ML,NCNO,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,ROOT,SEZNL,SHOP,SOFI,SQ,STNE,UPST,VIRT,XROLF
2021-06-10,696750011.4440918,14837440071.105957,2771565000.0,11353618037.110931,12942189392.089844,2413275817.9569244,6047659805.297852,,5852154062.271118,46291222273.55957,5575500000.0,9385157068.17627,2167697408.0,5116319778.442383,4312785000.0,983358608.7799072,22917681152.0,2854289461.9750977,606718422.147229,2444199924.4689937,289419986.7248535,,95269997.59674072,6081600036.621094,10709202191.155825,2023007104.0,30619050484.657288,15854474797.725677,68461496282.958984,1309867343.2826996,1366295168.0,5824239913.94043,6275969361.08539,9768850517.272951,5452020389.862061,17262300453.186035,3511411208.9538574,223519996.6430664,320669301452.63666,5496982354.660034,6233036384.124756,3041060115.814209,1659973119.0545583,156349696899.41406,18293764163.780212,108787139694.21387,19857600288.391113,13324219833.374023,4881985024.0,15263891804.160002
2021-06-11,698249988.5559082,15839340782.165531,2750939255.7525635,11619233894.979044,13059219696.044922,2345804470.0717926,6153799911.499023,,6133742891.025543,46723146817.93213,5496119985.580444,9080520000.0,2167697408.0,5286599899.291992,4312240683.746338,975303043.8995361,22917681152.0,3091893077.468872,610676751.3490547,2515149974.822998,290000000.0,,96320001.60217285,6370199890.136719,10867355430.436369,2023007104.0,31025610096.931458,16702875000.0,69428587500.0,1275828385.5724335,1366295168.0,6010359870.910644,6277491871.996999,9718000431.060791,5234271152.534485,17328299446.105957,3533709671.6308594,227039993.2861328,323025514526.3672,5704765962.524414,6343318927.001953,3033469942.0928955,1664324289.4799275,158371542480.46875,17801055696.849823,109889338165.2832,19945799903.86963,11420954750.061033,4881985024.0,15263891804.160002
2021-06-14,701250000.0,16063020568.847656,2819691518.02063,11741568643.343786,13035150253.295898,2323837165.8420563,6212380035.400391,,5982745937.728882,49890607273.55957,5227739971.160889,9168395776.519775,2167697408.0,5367119979.858398,4275779383.392334,977316935.1196289,22917681152.0,3159924885.2157593,612491178.1247146,2591599941.2536626,289130007.74383545,,86940000.53405762,6226799926.7578125,11439717176.624268,2023007104.0,31203479321.479797,16968000000.0,71416605743.4082,1231703957.710266,1366295168.0,6011300071.716309,5933477699.188996,9734949741.363525,5184500000.0,17532900352.478027,3405787253.7231445,222200008.39233398,327166691284.1797,5748687693.786621,6357884463.500977,3038530057.9071045,1657797482.1716754,165943281860.35156,17340135557.47986,115705948471.06934,20153699855.804443,11346790222.167967,4881985024.0,15376126302.720001
2021-06-15,691200027.4658203,15671580497.7417,2806800386.8865967,11749946926.372755,13230199493.408203,2305007834.1579437,6091739929.199219,,5619537186.8133545,48452940000.91553,5103000000.0,9124457888.259888,2167697408.0,5200800201.416016,4244760000.0,957465564.8803711,22917681152.0,3133524461.9750977,602914052.6850524,2675199966.430664,290000000.0,,78679998.39782715,5782799835.205077,11055632547.55323,2023007104.0,31254300484.657288,16962697378.635406,70028284460.44922,1172451024.0459442,1366295168.0,5880640129.089356,5717327684.463158,9265999784.469604,5051776926.574707,17004899597.167969,3464467253.7231445,220220005.0354004,323549117431.6406,5744183220.291138,6099865311.126709,2732400048.2559204,1555544925.505297,167777154418.9453,16529551393.699646,114102750000.0,20021400432.586674,11195729888.916016,4881985024.0,15376126302.720001
2021-06-16,684150009.1552734,15706530853.271488,2806800386.8865967,11945179041.489677,13497459594.726562,2289316923.942566,6031419876.098632,,5284894922.161102,47584913636.779785,5178599927.902222,9666360000.0,2167697408.0,5211359939.575195,4313873217.315674,941354435.1196289,22917681152.0,3183279038.734436,602150503.3527862,2676849899.291992,289130007.74383545,,77140003.2043457,5735999908.447266,10932122803.911077,2023007104.0,32219880775.45166,15891592135.90622,71147414526.36719,1148497656.7173004,1366295168.0,5875000000.0,5656440046.531653,9407249784.469604,5072514610.137939,17262300453.186035,3486765492.553711,220220005.0354004,319895808715.8203,5691251682.815552,6002067457.122803,2727339932.441712,1522911095.6448286,173520106201.17188,17348082639.369965,112780110305.78615,19952100048.065186,10829910194.396975,4881985024.0,15376126302.720001
2021-06-17,681599979.4006346,16167869857.788086,2833441904.9072266,12653208836.451828,14337420455.932617,2380324711.971283,6222239929.199219,,5125736171.245575,48129516364.13574,5273099927.902222,10091094223.480225,2167697408.0,5372400100.708008,4294826300.354004,970124435.1196289,22917681152.0,3293957460.5560303,604014841.6882362,2721950092.315674,290869992.25616455,,74760002.13623047,5951400146.484374,11673181261.24534,2023007104.0,31559220193.862915,15748425404.548645,72909610809.32617,1154801180.7632446,1366295168.0,5992500000.0,5829969062.372531,9508949956.89392,5049703079.109192,17684700050.354004,3507890328.3691406,220440010.07080078,330950882568.3594,5858492451.553345,6290258304.748535,2777939884.185791,1457643435.7063332,184057292480.46875,18039463606.300354,118301132446.28906,20887649230.95703,11494209777.832033,4881985024.0,15376126302.720001
2021-06-18,692700004.5776367,15885940071.105957,2961492321.31958,12893688554.858734,14815500000.0,2336389953.8707733,6270960159.301758,,4913523984.43222,47843649999.08447,5288219913.482666,11007934136.35254,2167697408.0,5389560241.699219,4205577533.569336,977316935.1196289,22917681152.0,3437128845.062256,594977969.2564988,2706000041.96167,291159998.8937378,,74829997.0626831,6229800109.863281,12042203951.398222,2023007104.0,31813321163.17749,16013550404.548645,73182793920.89844,1114458819.2367554,1366295168.0,6150420028.686523,5746248994.039486,9441149482.72705,4948086926.574707,18182999496.45996,3433953626.8615723,217799991.60766602,337222205810.5469,5850609085.922241,6181016384.124756,2709630009.651184,1457643435.7063332,186292489379.8828,18309658327.560425,118762051528.93066,21511350288.391113,11271260055.541992,4881985024.0,15376126302.720001
2021-06-21,71119511552.0,17550010368.0,3050870000.0,13049539007.708899,14687372288.0,2294024182.0430756,6275976704.0,,4587043906.593323,46447717273.55957,5137020057.678223,11303782844.696045,2167697408.0,5316959838.8671875,4239318083.03833,979906239.5095825,22917681152.0,3665593845.062256,591681309.855517,2677951232.0,290290006.63757324,,71750000.0,6376138240.0,12414239718.579603,2023007104.0,31076428836.82251,15907500000.0,73595547296.14258,1153540451.9081116,1366295168.0,6174466048.0,5699061045.416615,9785275392.0,4852691920.890808,17938800201.416016,3544272089.538574,230340005.8746338,332894994432.0,5938452548.446655,6108188304.748535,2708858880.0,1457643435.7063332,183046307840.0,17888472081.890106,102907437056.0,21130018816.0,9399413760.0,4881985024.0,15376126302.720001
2021-06-22,70847561728.0,16332474368.0,3093840000.0,13346156954.440498,15354681344.0,2217138317.9569244,6361885184.0,,5154303046.703339,46420590454.711914,5087880014.419556,11863260000.0,2167697408.0,5346000000.0,4197958766.784668,997455847.3205566,22917681152.0,3769164691.543579,579839525.9357624,2688292608.0,288549994.46868896,,70350001.33514404,6257003520.0,12350978882.866037,2023007104.0,30949380775.45166,15483300404.548645,75024250000.0,1147237048.0918884,1366295168.0,6033858048.0,5411368142.276939,9744283648.0,4885872689.247131,18166499748.22998,3829456925.354004,225720005.0354004,336853827584.0,6002645914.077759,6131077231.750488,2716446720.0,1457643435.7063332,185648234496.0,16847428606.300354,107453423616.0,21420871680.0,9079927808.0,4881985024.0,15714326572.637396
2021-06-23,69647523840.0,16772641792.0,3091261904.9072266,13571553705.499626,15631150080.0,2160650771.8276978,6397293568.0,,5644022968.864441,47159245453.79639,5280660100.93689,13201904310.60791,2167697408.0,5273400100.708008,4153878699.645996,984797086.8301392,22917681152.0,3782365000.0,573658142.4170154,2645837568.0,289709993.36242676,,70980002.40325928,6616862720.0,12445870135.683279,2023007104.0,31127250000.0,15509812500.0,76408086486.8164,1177493819.2367554,1366295168.0,6039520256.0,5487477400.476138,10078071808.0,4842323079.109192,18202799949.645996,4099384835.8154297,228580007.5531006,338463195136.0,6044878414.077759,6271531072.998047,2729093120.0,1631690459.6194592,184674729984.0,17006365696.849823,108696576000.0,21380644864.0,9496549376.0,4881985024.0,15712829798.400002
2021-06-24,73445097472.0,17583618048.0,3242516160.65979,13634396609.764078,17486176256.0,2182618076.057434,6490748416.0,10340811324.71323,5627698984.43222,47977192271.728516,5424300144.195557,13348364310.60791,2167697408.0,5625839859.008789,4213740616.607666,994003478.0502319,22917681152.0,4000676154.937744,566949710.4178133,2667609344.0,290000000.0,,72940000.53405762,6723715072.0,12744101595.285276,2023007104.0,31203479321.479797,15949919959.545135,76888142230.22461,1178754548.0918884,1366295168.0,6023477760.0,5635129547.089173,9878584320.0,4823658847.465515,18598800201.416016,4260167910.461426,231220005.0354004,344442568704.0,6087110914.077759,6585731920.623779,2772090880.0,1577300777.6321437,182412705792.0,16585180966.93039,111178334208.0,21789073408.0,9491516416.0,4881985024.0,15712829798.400002
