Date,PYPL,SQ,SHOP,LC,GPN,CATM,GDOT,BL,ADYEY,STNE,LMND,ROOT,AFRM,INTU,OPEN,NCNO,BILL,UPST,GWRE,COIN,SOFI,FUSE,MELI,PAGS,LU,FTCV,DLO,MQ,AVLR,GSKY,QD,OSCR,RDFN,FLYW,BTRS,ZG,XROLF,AFTPY,CLOV,MILE,ALKT,BHG,COMP,DCT,ENV,EVER,HIPO,INTA,KPLT,PAY,PAYO,QTWO,FCH.L,SZL.AX,XRO.AX,ML,FLT,VIRT,LSPD.TO,KUX.SI,LDI
2016-11-08,50478122222.90039,4244960052.4902344,3514749870.300293,2246399940.490723,11174645957.946777,2448509914.3981934,1114350019.454956,926600015.6402589,,,,,,26900759582.51953,,,,,4282179988.861084,,,,7660359313.964844,,,,,,,,,,,,,6632899971.008301,1656530389.5378113,,,,,,,,1408250000.0,,,,,,,1168000030.5175781,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-11-09,50089637962.34131,4128000000.0,3449300155.6396484,2187899940.490723,11202341423.034668,2504610031.1279297,1140360031.1279294,943410009.3841554,,,,,,27151513961.791992,,,,,4301159866.333008,,,,7580101745.605469,,,,,,,,,,,,,6691800231.933594,1656530389.5378113,,,,,,,,1408250000.0,,,,,,,1184000015.258789,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-11-10,49106300926.208496,4007599868.774414,3407650012.9699707,2297100059.509277,10913088188.171387,2510729976.6540527,1134750000.0,1000809993.7438965,,,,,,27119236404.418945,,,,,4215750000.0,,,,7140224609.375,,,,,,,,,,,,,6454300231.933594,1696298084.306717,,,,,,,,1451250000.0,,,,,,,1195999984.741211,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-11-11,48657122222.90039,4086720039.367676,3371099987.0300293,2394600059.509277,10691532745.36133,2613750000.0,1200030035.0189211,979489974.975586,,,,,,27653028625.48828,,,,,4288750000.0,,,,6839811279.296875,,,,,,,,,,,,,6593000144.958496,1693555552.3109436,,,,,,,,1539399967.1936035,,,,,,,1283999938.9648438,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-11-14,47115341667.17529,4248400131.225586,3221500129.699707,2460899940.490723,10242273750.305176,2668830093.383789,1199010011.6729739,963089990.6158447,,,,,,27312891906.73828,,,,,4084350055.69458,,,,6731924133.300781,,,,,,,,,,,,,6572100028.991699,1700411947.6890564,,,,,,,,1539399967.1936035,,,,,,,1200000000.0,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-11-15,47273158332.8247,4138319908.142091,3393199844.3603516,2542799880.981445,10469979667.663574,2685659992.2180176,1204110031.1279294,1045910009.3841555,,,,,,27533862670.89844,,,,,4085079933.166504,,,,6828846191.40625,,,,,,,,,,,,,6631000289.916992,1700411947.6890564,,,,,,,,1563049934.387207,,,,,,,1208000030.5175781,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-11-16,47430979629.5166,4141759986.8774414,3430600051.879883,2488199970.2453613,10760771408.081055,2621909992.2180176,1214819984.4360352,1016799968.7194825,,,,,,27523926269.53125,,,,,4108439910.888673,,,,6882789428.7109375,,,,,,,,,,,,,6564499855.041504,1793660389.5378113,,,,,,,,1582399967.1936035,,,,,,,1235999984.741211,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-11-17,48414321296.69189,4203680091.857909,3571700038.909912,2363399940.490723,10733078308.105469,2629560070.0378423,1235729976.6540527,1047959978.1036379,,,,,,28253860061.645508,,,,,4190200111.389159,,,,6897262512.207031,,,,,,,,,,,,,6745000000.0,1782690000.0,,,,,,,,1629700065.612793,,,,,,,1281999969.4824219,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-11-18,48657122222.90039,4183039947.5097656,3744249935.1501465,2332199970.2453613,10879241065.979004,2608650077.8198237,1235219964.9810789,1128730028.152466,,,,,,28795106552.124023,,,,,4137640022.277832,,,,6913050842.285156,,,,,,,,,,,,,6731700057.983398,1782690000.0,,,,,,,,1642600032.8063965,,,,,,,1303999938.9648438,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-11-21,49324821296.69189,4203680091.857909,3815649948.120117,2394600059.509277,11076176872.253418,2591819984.436035,1239299961.0900881,1137750000.0,,,,,,28718138809.2041,,,,,4195310089.111329,,,,7044617797.8515625,,,,,,,,,,,,,6739300231.933594,1764863084.306717,,,,,,,,1666250000.0,,,,,,,1303999938.9648438,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-11-22,48960622222.90039,4286240013.1225586,3651599922.180176,2324399940.490723,11034638404.846191,2551020023.3459473,1233690027.2369382,1107000000.0,,,,,,28906826110.839844,,,,,4177789966.583252,,,,7234077758.7890625,,,,,,,,,,,,,6733599739.074707,1782690000.0,,,,,,,,1681299934.387207,,,,,,,1250000000.0,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-11-23,48620699073.791504,4275920104.980468,3659249935.1501465,2316600059.509277,11091565475.463867,2585189929.9621577,1234200038.9099119,1105769971.847534,,,,,,28755384567.260742,,,,,4255899944.30542,,,,7313018737.792969,,,,,,,,,,,,,6849499855.041504,1782690000.0,,,,,,,,1681299934.387207,,,,,,,1260000000.0,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-11-24,48620699073.791504,4275920104.980468,3659249935.1501465,2316600059.509277,11091565475.463867,2585189929.9621577,1234200038.9099119,1105769971.847534,,,,,,28755384567.260742,,,,,4255899944.30542,,,,7313018737.792969,,,,,,,,,,,,,6849499855.041504,1782690000.0,,,,,,,,1681299934.387207,,,,,,,1260000000.0,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-11-25,48875637962.34131,4386000000.0,3677950038.909912,2316600059.509277,11091565475.463867,2642819984.436035,1250010011.6729739,1100440006.2561035,,,,,,28817447708.129883,,,,,4282179988.861084,,,,7156890441.894531,,,,,,,,,,,,,6783000144.958496,1812858636.6176605,,,,,,,,1674850032.8063965,,,,,,,1255999984.741211,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
